9823.A0A5G2QSN7	SLC26A7
9615.A0A8I3S4L1	SLC26A7
9739.D7PC76	SLC26A5
9913.E1BD54	SLC26A7
13616.F7GJR3	SLC26A7
9606.O43511	SLC26A4
9606.P40879	SLC26A3
9606.P50443	SLC26A2
10090.P58735	Slc26a1
9606.P58743	SLC26A5
10090.Q62273	Slc26a2
9606.Q7LBE3	SLC26A9
10090.Q80ZD3	Slc26a11
9606.Q86WA9	SLC26A11
10090.Q8BU91	Slc26a9
10090.Q8CIW6	Slc26a6
10090.Q8R0C3	Slc26a8
10090.Q8R2Z3	Slc26a7
9606.Q8TE54	SLC26A7
9606.Q96RN1	SLC26A8
10090.Q99NH7	Slc26a5
9913.Q9BEG8	SLC26A2
9606.Q9BXS9	SLC26A6
9606.Q9H2B4	SLC26A1
10090.Q9R155	Slc26a4
10090.Q9WVC8	Slc26a3
9823.A0A287BA87	SLC26A6
9739.A0A2U4AJ20	SLC26A7
9749.A0A2Y9NZH6	SLC26A7
9755.A0A2Y9RYZ9	SLC26A7
118797.A0A340XDX1	SLC26A7
34884.A0A3Q7P148	SLC26A7
9925.A0A452EV08	SLC26A7
103600.A0A484H1W7	DBR06_SOUSAS30110015
29139.A0A4X2JVR9	SLC26A7
13616.A0A5F8HEG4	SLC26A6
59479.A0A671FBL6	SLC26A7
132908.A0A6P3S0M1	SLC26A7
38626.A0A6P5J2I7	SLC26A7
89673.A0A7E6E765	SLC26A7
51298.A0A7J7TJK0	mMyoMyo1_017685
59472.A0A7J7VN70	mPipKuh1_016001
9407.A0A7J8C4D1	HJG63_017798
27622.A0A7J8DVD7	HJG59_016716
9305.A0A7N4NVE9	SLC26A7
186990.A0A8B7QJ34	SLC26A7
9771.A0A8B8VN29	SLC26A7
9615.A0A8I3NJ14	SLC26A11
9615.A0A8I3QCA6	SLC26A6
9615.A0A8I3RUU2	SLC26A2
9913.A6QNW6	SLC26A8
9913.F1N3J7	SLC26A2
9823.F1RL88	SLC26A2
9305.G3WFG9	SLC26A6
9913.Q08DQ8	SLC26A6
9913.Q58DD2	SLC26A11
9606.Q8NG04	SLC26A10P
9739.A0A2U4AH16	SLC26A2
9755.A0A2Y9FK44	SLC26A11
9749.A0A2Y9PDX3	SLC26A11
9749.A0A2Y9PJ47	SLC26A2
9755.A0A2Y9SF07	SLC26A2
118797.A0A340WJ39	SLC26A2
118797.A0A340XST3	SLC26A11
34884.A0A3Q7N3M8	SLC26A11
34884.A0A3Q7NP80	SLC26A2
9925.A0A452EBH9	SLC26A2
9925.A0A452EJ39	SLC26A11
9925.A0A452FZR6	SLC26A6
103600.A0A484GKI1	DBR06_SOUSAS810221
